Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1
0,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000000_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000000_1.tif,38.1580,38.1581
1,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000001_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000001_1.tif,38.8083,38.8083
2,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000002_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000002_1.tif,39.1584,39.1584
3,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000003_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000003_1.tif,39.5583,39.5584
4,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000004_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAt3inchBehind\TestAt3inchBehind-00000004_1.tif,40.4081,40.4080
