 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-15.7738,9.6325,-0.837786,-0.81392,-4.72988,5.34757,0.0712279,-0.0816063,-0.00858234,0.0717083,-0.0820867,-0.0559203,0.0348228,708,690,-11.3245,50.266,37.2612,11.1206,54.3521,-38.0033
-15.0265,9.63853,-0.75371,-0.756776,-4.7726,5.41195,0.0714234,-0.0821154,-0.0086823,0.0719128,-0.0826048,-0.0563087,0.0352025,715,690,-10.7992,50.7684,37.2231,11.5777,53.8981,-37.9906
-14.2804,9.64956,-0.684338,-0.700244,-4.82207,5.48394,0.0715548,-0.082518,-0.00894342,0.0720722,-0.0830354,-0.057788,0.0358882,722,690,-10.2834,51.2695,37.1874,12.0543,53.4646,-38.1024
-13.5355,9.65915,-0.628596,-0.64939,-4.87974,5.5527,0.0722381,-0.0828688,-0.00932852,0.0727971,-0.0834278,-0.059855,0.0351628,729,690,-9.81726,51.8558,37.1314,12.5899,53.0513,-38.2153
-12.7913,9.66464,-0.578899,-0.608249,-4.94281,5.58428,0.0735033,-0.0829524,-0.00983598,0.0741193,-0.0835683,-0.0625393,0.035788,736,690,-9.41474,52.4996,37.0783,13.1527,52.6486,-38.2637
-12.0473,9.66534,-0.530075,-0.566556,-5.00231,5.59651,0.0751411,-0.0830333,-0.0103386,0.0758139,-0.0837062,-0.0649938,0.0378627,743,690,-8.99296,53.1352,37.0732,13.7036,52.2494,-38.2233
-11.3022,9.66939,-0.46665,-0.542532,-5.06284,5.52099,0.0768544,-0.0831122,-0.0108447,0.0775862,-0.0838441,-0.0673823,0.0400414,750,690,-8.67503,53.6275,37.0714,14.1992,51.8307,-38.2159
-10.5592,9.67417,-0.428853,-0.494404,-5.10532,5.58777,0,0,0,0,0,0,-1,757,690,-8.23269,54.0895,37.0239,14.624,51.4485,-38.2754
-9.81904,9.67513,-0.428464,-0.452672,-5.1658,5.60699,0,0,0,0,0,0,-1,764,690,-7.8147,54.6946,37.0773,15.1302,51.1198,-38.3405
-9.06912,9.6925,-0.296734,-0.428988,-5.24436,5.52059,0.0809295,-0.0836531,-0.0120598,0.0818085,-0.0845321,-0.0727573,0.0321859,771,690,-7.49288,55.3669,37.0054,15.6562,50.6084,-38.4423
-8.33525,9.687,-0.379506,-0.389014,-5.32601,5.47454,0.0822846,-0.0839852,-0.0121277,0.0831645,-0.0848651,-0.0724293,0.0310351,778,690,-7.0439,56.074,37.3032,16.2571,50.3982,-38.5581
-7.59841,9.682,-0.422183,-0.342018,-5.39651,5.48356,0.0833221,-0.0843285,-0.01204,0.0841824,-0.0851887,-0.0713279,0.0316223,785,690,-6.56829,56.7497,37.4935,16.8773,50.1342,-38.5999
-6.85624,9.68432,-0.391356,-0.26614,-5.43379,5.65297,0.0841453,-0.0846327,-0.0118087,0.0849675,-0.0854549,-0.0695147,0.0332433,792,690,-5.93152,57.3437,37.5059,17.3243,49.7688,-38.6274
-6.11448,9.69032,-0.365945,-0.180886,-5.45621,5.86474,0.0847603,-0.0849439,-0.011695,0.0855625,-0.0857461,-0.0684828,0.035542,799,690,-5.23292,57.7758,37.5233,17.6676,49.4114,-38.7354
-5.37234,9.69854,-0.3346,-0.128867,-5.49779,5.94668,0.0850186,-0.0852693,-0.0117319,0.0858231,-0.0860738,-0.0684635,0.0367166,806,690,-4.7583,58.1903,37.504,18.0803,49.0468,-38.8729
-4.63122,9.70205,-0.315813,-0.0913181,-5.56534,5.92033,0.0847089,-0.0854496,-0.011586,0.0854941,-0.0862349,-0.0676732,0.0361108,813,690,-4.3461,58.7502,37.6012,18.6608,48.7018,-38.9478
-3.89089,9.69867,-0.306585,-0.0455195,-5.64261,5.88684,0.0842384,-0.0853669,-0.0112598,0.0849826,-0.0861111,-0.0660025,0.0359751,820,690,-3.85075,59.4726,37.8063,19.3527,48.3728,-38.9122
-3.15054,9.69643,-0.296491,0.0219145,-5.71014,5.93796,0.0842129,-0.0853176,-0.0110825,0.0849343,-0.086039,-0.0650029,0.0368381,827,690,-3.20629,60.2267,38.0342,19.9926,48.0437,-38.8965
-2.40837,9.7014,-0.259914,0.0814002,-5.76685,5.99213,0.0842256,-0.0851921,-0.0110893,0.0849484,-0.0859149,-0.0650852,0.036077,834,690,-2.63945,60.8473,38.1447,20.4934,47.678,-38.9619
-1.66508,9.70764,-0.205389,0.131598,-5.82002,6.02525,0.0839297,-0.085059,-0.011244,0.0846746,-0.0858039,-0.0661483,0.0358735,841,690,-2.14698,61.3917,38.1887,20.9754,47.2886,-39.0138
-0.92433,9.70661,-0.186534,0.187729,-5.87005,6.06327,0.0836357,-0.0845913,-0.0115085,0.0844193,-0.085375,-0.0679885,0.0355481,848,690,-1.60085,61.8912,38.3292,21.514,46.9512,-39.0027
-0.186533,9.69538,-0.210183,0.230683,-5.92696,6.08346,0.0838863,-0.0839326,-0.0119965,0.0847395,-0.0847859,-0.0710036,0.0370522,855,690,-1.16786,62.4326,38.4507,22.2013,46.676,-38.8874
0.554723,9.69719,-0.182591,0.265422,-5.98707,6.11076,0.0848929,-0.0832913,-0.0124326,0.085807,-0.0842053,-0.0733907,0.0390171,862,690,-0.816996,63.0112,38.4121,22.7932,46.3287,-38.9115
1.29459,9.70419,-0.176703,0.326491,-6.04665,6.19963,0.0858726,-0.0829824,-0.0126024,0.086808,-0.0839178,-0.0740876,0.039801,869,690,-0.253297,63.7054,38.5219,23.2452,46.0117,-39.0787
2.03669,9.71444,-0.135224,0.406067,-6.08577,6.38226,0.086355,-0.0825744,-0.012837,0.0873249,-0.0835444,-0.0754131,0.037324,876,690,0.429499,64.298,38.5616,23.6366,45.6462,-39.2332
2.77152,9.71066,-0.205986,0.471883,-6.14008,6.44534,0.0865059,-0.0824441,-0.013082,0.0875129,-0.0834511,-0.0768209,0.0368595,883,690,1.05658,64.8547,38.8787,24.1088,45.4399,-39.3561
3.50939,9.7068,-0.228698,0.521561,-6.21035,6.41637,0.0865384,-0.0823186,-0.0133157,0.0875819,-0.0833622,-0.0782134,0.0391564,890,690,1.58621,65.5231,39.1693,24.6746,45.1688,-39.3775
4.24977,9.703,-0.210071,0.567104,-6.28748,6.35652,0.0864372,-0.0822604,-0.0135386,0.0875168,-0.08334,-0.0795751,0.0411106,897,690,2.09471,66.2047,39.428,25.3785,44.8419,-39.3145
4.99036,9.70485,-0.188392,0.617383,-6.35795,6.36126,0.086468,-0.0821727,-0.0136424,0.0875644,-0.0832692,-0.0802013,0.0405633,904,690,2.60978,66.8533,39.5976,26.0327,44.5109,-39.3515
5.72589,9.69845,-0.248324,0.689167,-6.41581,6.4831,0.0864968,-0.0822212,-0.0136891,0.0876002,-0.0833247,-0.0804349,0.0400427,911,690,3.26148,67.5095,39.8491,26.6741,44.2958,-39.4023
6.46669,9.70356,-0.222294,0.741036,-6.47775,6.48042,0.0859777,-0.0823022,-0.0136929,0.0870846,-0.0834091,-0.0806627,0.0380158,918,690,3.79566,68.1726,40.0421,27.0834,43.9609,-39.4917
