 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-60,43.3166,3.56657,-0.341176,-3.22464,3.11933,0.0224311,-0.0124951,0.00771422,0.024059,-0.0141231,0.207984,0.0262032,281,375,-6.34642,33.1659,54.5221,7.66557,64.0706,-24.4999
-59.2693,43.3087,3.51216,-0.305622,-3.20723,3.31814,0.010526,-0.00886284,0.00887742,0.0139766,-0.0123134,0.370717,0.0265098,288,375,-6.21967,33.1149,54.0172,7.67381,63.7271,-24.5288
-58.5296,43.3064,3.53331,-0.29602,-3.19751,3.40535,0.00155695,-0.00606273,0.00884981,0.00738215,-0.0118879,0.582138,0.0259962,295,375,-6.2105,33.0682,53.4534,7.66106,63.2796,-24.5492
-57.781,43.3142,3.62902,-0.304862,-3.1909,3.42467,-0.00512866,-0.00386684,0.00775028,0.00327817,-0.0122737,0.826011,0.0251725,302,375,-6.29948,33.0168,52.7875,7.53229,62.7284,-24.6475
-57.026,43.3312,3.77925,-0.333901,-3.19209,3.36524,-0.00989993,-0.00216625,0.00598883,0.00109562,-0.0131618,1.07206,0.0240085,309,375,-6.49169,32.9938,52.0589,7.30975,62.1012,-24.8379
-56.2714,43.3519,3.92835,-0.373243,-3.20288,3.26296,-0.0128185,-0.000913532,0.00403302,0.000324069,-0.0140561,1.27305,0.0227086,316,375,-6.73385,33.044,51.3465,7.05571,61.4757,-25.0999
-55.5323,43.3602,3.94591,-0.398077,-3.21656,3.20675,-0.0140897,-0.00017939,0.0021953,0.000158845,-0.014428,1.41793,0.0219081,323,375,-6.889,33.1529,50.8389,6.89596,61.0355,-25.3264
-54.8002,43.3608,3.90519,-0.413285,-3.22478,3.18418,-0.0140979,-9.34231e-05,0.000810209,-4.67049e-05,-0.0141446,1.5132,0.0220355,330,375,-6.99052,33.2138,50.4178,6.78812,60.6787,-25.4962
-54.0621,43.3637,3.91693,-0.435332,-3.22901,3.13022,-0.0143386,-0.00053281,0.000315056,-0.000525624,-0.0143457,1.54799,0.0227668,337,375,-7.12394,33.2074,49.9373,6.66218,60.2504,-25.6308
-53.3182,43.368,3.97996,-0.460557,-3.23473,3.05279,-0.0131906,-0.00144153,-0.000235638,-0.0014368,-0.0131953,-1.55075,0.0236974,344,375,-7.26304,33.2251,49.4142,6.5593,59.7524,-25.7118
-52.5791,43.3654,4.00208,-0.469042,-3.24109,3.03401,-0.010789,-0.00282832,-0.000625233,-0.00277951,-0.0108378,-1.49289,0.0242834,351,375,-7.30702,33.3272,48.9591,6.54071,59.3136,-25.7235
