 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-60,43.3166,3.56657,-0.244225,-0.795831,-0.550043,0.0323962,-0.0155365,0.00294079,0.032576,-0.0157163,0.0610473,0.022837,281,375,-1.58194,7.19999,63.5164,-17.6083,64.0706,-24.4999
-59.2693,43.3087,3.51216,-0.197181,-0.77731,-0.374253,0.0191612,-0.0120527,0.00364407,0.019581,-0.0124725,0.11469,0.0235268,288,375,-1.34075,7.12215,63.1537,-17.6414,63.7271,-24.5288
-58.5296,43.3064,3.53331,-0.185321,-0.768577,-0.317076,0.00923838,-0.00938004,0.00350309,0.00987568,-0.0100173,0.179956,0.0232787,295,375,-1.2966,7.05412,62.6671,-17.6691,63.2796,-24.5492
-57.781,43.3142,3.62902,-0.195473,-0.766162,-0.332723,0.00196793,-0.00729671,0.00271175,0.00270329,-0.00803207,0.264807,0.02268,302,375,-1.37849,6.99543,62.0599,-17.7735,62.7284,-24.6475
-57.026,43.3312,3.77925,-0.223676,-0.772149,-0.412359,-0.00310498,-0.00558252,0.0015846,-0.00233241,-0.00635509,0.453639,0.0216606,309,375,-1.55979,6.98198,61.3731,-17.9533,62.1012,-24.8379
-56.2714,43.3519,3.92835,-0.258615,-0.786059,-0.517753,-0.00629944,-0.00410978,0.00041125,-0.00403509,-0.00637414,1.39114,0.0204504,316,375,-1.7767,7.05574,60.6917,-18.183,61.4757,-25.0999
-55.5323,43.3602,3.94591,-0.273833,-0.797271,-0.557154,-0.00792827,-0.00294234,-0.000646657,-0.00285984,-0.00801077,-1.4439,0.0195552,323,375,-1.8806,7.17745,60.2103,-18.3797,61.0355,-25.3264
-54.8002,43.3608,3.90519,-0.279126,-0.80118,-0.565559,-0.00826144,-0.00226431,-0.00138886,-0.00195829,-0.00856747,-1.35392,0.0194756,330,375,-1.92544,7.22866,59.8234,-18.5397,60.6787,-25.4962
-54.0621,43.3637,3.91693,-0.286407,-0.800415,-0.589132,-0.00897037,-0.00190069,-0.00154925,-0.0015761,-0.00929497,-1.36426,0.0198546,337,375,-1.97325,7.17847,59.3823,-18.6715,60.2504,-25.6308
-53.3182,43.368,3.97996,-0.296118,-0.801744,-0.628798,-0.00803263,-0.0018659,-0.00173166,-0.00141291,-0.00848562,-1.31494,0.0203684,344,375,-2.02682,7.13352,58.8887,-18.7394,59.7524,-25.7118
-52.5791,43.3654,4.00208,-0.297645,-0.804403,-0.634878,-0.00603033,-0.00218293,-0.00183066,-0.00145108,-0.00676218,-1.19049,0.0205889,351,375,-2.03926,7.16569,58.4471,-18.7415,59.3136,-25.7235
-51.8535,43.3521,3.9068,-0.289774,-0.805834,-0.599404,-0.00367881,-0.00268279,-0.00160247,-0.00150273,-0.00485887,-0.936054,0.02037,358,375,-2.00696,7.23128,58.1554,-18.716,59.0406,-25.7116
-51.1358,43.3348,3.7398,-0.27495,-0.804331,-0.530941,-0.00138998,-0.0033145,-0.00098841,-0.000972783,-0.00373169,-0.399402,0.0200107,365,375,-1.94343,7.27668,57.9481,-18.7102,58.8686,-25.7338
-50.4156,43.3223,3.59396,-0.26111,-0.80091,-0.454703,9.39811e-05,-0.00389315,-0.000157775,0.000100215,-0.00389938,-0.0394887,0.019975,372,375,-1.89683,7.30375,57.6848,-18.7687,58.6677,-25.8153
-49.6892,43.3164,3.50091,-0.25021,-0.797851,-0.390252,0.000776641,-0.00431539,0.00052583,0.000830374,-0.00436913,0.101833,0.0205052,379,375,-1.86488,7.32665,57.3511,-18.8767,58.3937,-25.9402
-48.9579,43.3127,3.45277,-0.24224,-0.796976,-0.352709,0.00106145,-0.0045185,0.00107231,0.00126042,-0.00471747,0.183469,0.0215628,386,375,-1.8315,7.32453,56.9953,-18.9337,58.0586,-26.0406
-48.2265,43.3052,3.40483,-0.237495,-0.799405,-0.349362,0.000955353,-0.00453903,0.00155334,0.0013641,-0.00494777,0.257305,0.0227699,393,375,-1.79225,7.30434,56.6949,-18.8876,57.7255,-26.0666
-47.4945,43.2966,3.36289,-0.237256,-0.801486,-0.347415,0.000423578,-0.00421514,0.00187472,0.0010865,-0.00487806,0.339889,0.0236917,400,375,-1.7945,7.30587,56.3506,-18.8407,57.3858,-26.0612
-46.7557,43.2939,3.38369,-0.245209,-0.802638,-0.341054,-0.000324737,-0.00360642,0.00186945,0.000521827,-0.00445299,0.425215,0.0239229,407,375,-1.87953,7.34773,55.8352,-18.8623,56.9593,-26.0738
-46.0147,43.2932,3.42471,-0.25383,-0.802487,-0.32257,-0.00103931,-0.00284835,0.00160949,-9.7591e-05,-0.00379008,0.529396,0.0233749,414,375,-1.98343,7.39172,55.2578,-18.8996,56.5058,-26.0944
