 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-60,43.3166,3.56657,-0.265075,-1.36504,-0.0876512,0.0184987,-0.0117332,0.00794847,0.0204611,-0.0136956,0.24205,0.0238132,281,375,-2.22564,12.9209,62.4021,-11.9595,64.0706,-24.4999
-59.2693,43.3087,3.51216,-0.242758,-1.35564,0.0190441,0.0101909,-0.00789924,0.00789238,0.0131501,-0.0108585,0.358723,0.0241457,288,375,-2.13731,12.8723,61.9923,-11.9522,63.7271,-24.5288
-58.5296,43.3064,3.53331,-0.232437,-1.34741,0.0983997,0.0034484,-0.00509895,0.00699392,0.00737101,-0.00902156,0.511144,0.0236971,295,375,-2.13081,12.8335,61.4396,-11.9638,63.2796,-24.5492
-57.781,43.3142,3.62902,-0.233807,-1.3401,0.148981,-0.0017354,-0.00299783,0.00540347,0.0030736,-0.00780683,0.727254,0.0230276,302,375,-2.20221,12.7987,60.7496,-12.0818,62.7284,-24.6475
-57.026,43.3312,3.77925,-0.251898,-1.33976,0.136143,-0.00543841,-0.00141397,0.00349866,0.000609857,-0.00746224,1.04637,0.0221747,309,375,-2.36046,12.8016,59.9907,-12.2941,62.1012,-24.8379
-56.2714,43.3519,3.92835,-0.283954,-1.35103,0.0561845,-0.00777924,-0.000274671,0.00161436,5.78701e-05,-0.00811178,1.36765,0.0213556,316,375,-2.57582,12.8915,59.2748,-12.55,61.4757,-25.0999
-55.5323,43.3602,3.94591,-0.307515,-1.3659,-0.0104018,-0.00893197,0.000385852,1.04155e-06,0.000385852,-0.00893198,1.57068,0.0210234,323,375,-2.72547,13.0252,58.7884,-12.7303,61.0355,-25.3264
-54.8002,43.3608,3.90519,-0.323424,-1.37483,-0.0482436,-0.00899315,0.000425082,-0.00103539,0.000537564,-0.00910563,-1.46258,0.0214353,330,375,-2.83521,13.0797,58.3819,-12.8426,60.6787,-25.4962
-54.0621,43.3637,3.91693,-0.342833,-1.37799,-0.0965324,-0.008764,1.6507e-05,-0.00145793,0.000252254,-0.00899975,-1.41048,0.0222103,337,375,-2.96803,13.04,57.8954,-12.947,60.2504,-25.6308
-53.3182,43.368,3.97996,-0.360406,-1.38134,-0.146897,-0.00756037,-0.000950806,-0.00153245,-0.000612787,-0.00789839,-1.3537,0.0230222,344,375,-3.08206,13.031,57.3597,-13.0281,59.7524,-25.7118
