 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-60,43.3166,3.56657,-5.69375,-1.3293,-2.93758,0.323837,-0.0551783,-0.00143245,0.323842,-0.0551838,-0.00377934,0.0426415,281,375,-50.3811,10.3198,21.0699,-13.7093,64.0706,-24.4999
-59.2693,43.3087,3.51216,-5.33095,-1.31666,-2.0461,0.267258,-0.049432,0.011101,0.267647,-0.0498206,0.034996,0.0419226,288,375,-48.0127,11.0771,21.719,-13.4163,63.7271,-24.5288
-58.5296,43.3064,3.53331,-5.34999,-1.41912,-2.20264,0.223817,-0.0494226,0.015299,0.224671,-0.0502765,0.0557589,0.0401639,295,375,-48.0141,11.9458,21.4992,-12.6279,63.2796,-24.5492
-57.781,43.3142,3.62902,-5.36224,-1.52345,-2.35735,0.191027,-0.0532773,0.0143962,0.191872,-0.0541227,0.0586568,0.0391698,302,375,-47.9582,12.7941,21.2281,-11.8572,62.7284,-24.6475
-57.026,43.3312,3.77925,-5.36105,-1.62465,-2.48615,0.168064,-0.0599794,0.0110102,0.168595,-0.0605098,0.0481318,0.0385116,309,375,-47.8095,13.6039,20.9326,-11.1576,62.1012,-24.8379
-56.2714,43.3519,3.92835,-5.32246,-1.71317,-2.51698,0.153187,-0.06789,0.00718493,0.15342,-0.0681233,0.032454,0.0382016,316,375,-47.4221,14.3583,20.7264,-10.5643,61.4757,-25.0999
-55.5323,43.3602,3.94591,-5.2352,-1.77262,-2.42469,0.143386,-0.0758046,0.00353533,0.143443,-0.0758616,0.0161234,0.0386007,323,375,-46.7125,14.8982,20.8323,-10.0824,61.0355,-25.3264
-54.8002,43.3608,3.90519,-5.11615,-1.83074,-2.31762,0.137203,-0.0830121,-0.000240469,0.137203,-0.0830123,-0.00109197,0.0399052,330,375,-45.7149,15.4455,21.2715,-9.55925,60.6787,-25.4962
-54.0621,43.3637,3.91693,-5.03602,-1.93843,-2.41558,0.124235,-0.0867056,-0.00141378,0.124244,-0.086715,-0.00670187,0.0405583,337,375,-44.8496,16.3297,21.8074,-8.72176,60.2504,-25.6308
-53.3182,43.368,3.97996,-4.97208,-2.07247,-2.5609,0.122701,-0.0976835,-0.00846747,0.123026,-0.0980084,-0.038346,0.0405474,344,375,-44.085,17.5124,22.2502,-7.70936,59.7524,-25.7118
-52.5791,43.3654,4.00208,-4.88667,-2.19491,-2.60467,0.129356,-0.107397,-0.0101922,0.129794,-0.107835,-0.0429441,0.0405938,351,375,-43.232,18.7101,22.6936,-6.70781,59.3136,-25.7235
-51.8535,43.3521,3.9068,-4.77267,-2.28911,-2.54453,0.135281,-0.114155,-0.0109714,0.135762,-0.114636,-0.0438719,0.040971,358,375,-42.2225,19.6886,23.3005,-5.83703,59.0406,-25.7116
-51.1358,43.3348,3.7398,-4.65409,-2.34557,-2.38908,0.139928,-0.119295,-0.0115655,0.140443,-0.11981,-0.0444984,0.0417606,365,375,-41.2755,20.3116,23.8106,-5.20312,58.8686,-25.7338
