 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-60,43.3166,3.56657,-3.48709,-2.47819,1.7509,0.0664472,0.0131057,0.0348992,0.0837,-0.00414722,0.459128,0.0435036,281,375,-34.7842,24.3485,29.5355,0.747233,64.0706,-24.4999
-59.2693,43.3087,3.51216,-3.4262,-2.56203,1.76685,0.0584553,0.0152495,0.0367008,0.0794392,-0.00573443,0.519393,0.0435036,288,375,-34.2046,25.3459,29.7259,1.30429,63.7271,-24.5288
-58.5296,43.3064,3.53331,-3.4055,-2.63522,1.68031,0.0531479,0.0154917,0.0350308,0.0740898,-0.00545024,0.538811,0.0415689,295,375,-33.8929,26.2893,29.6993,1.5685,63.2796,-24.5492
-57.781,43.3142,3.62902,-3.4305,-2.70225,1.53554,0.0513065,0.0133151,0.0306621,0.0683801,-0.00375864,0.508075,0.0390002,302,375,-33.9524,27.0173,29.2994,1.77631,62.7284,-24.6475
-57.026,43.3312,3.77925,-3.45883,-2.7661,1.43441,0.0536327,0.008301,0.0253193,0.0649493,-0.00301564,0.42032,0.0369253,309,375,-34.0965,27.5497,28.6836,2.10627,62.1012,-24.8379
-56.2714,43.3519,3.92835,-3.45282,-2.82819,1.43115,0.0592345,0.000991369,0.0202774,0.0655987,-0.0053728,0.304119,0.0358221,316,375,-34.0261,27.9903,28.1361,2.57799,61.4757,-25.0999
-55.5323,43.3602,3.94591,-3.39133,-2.89228,1.50607,0.0661142,-0.00784534,0.0154542,0.0692135,-0.0109447,0.197924,0.0360462,323,375,-33.5125,28.5077,28.0833,3.15511,61.0355,-25.3264
-54.8002,43.3608,3.90519,-3.32668,-2.96155,1.52184,0.0731259,-0.0181093,0.0103663,0.0742889,-0.0192724,0.111725,0.0364015,330,375,-32.8991,29.0711,28.2905,3.74292,60.6787,-25.4962
-54.0621,43.3637,3.91693,-3.27748,-3.04753,1.43337,0.0797024,-0.029361,0.00565324,0.0799946,-0.0296532,0.05165,0.0368902,337,375,-32.3159,29.8113,28.5454,4.34029,60.2504,-25.6308
-53.3182,43.368,3.97996,-3.24095,-3.15446,1.26243,0.0871501,-0.0430063,0.00126089,0.0871623,-0.0430185,0.00968626,0.0375029,344,375,-31.7619,30.7533,28.8216,5.05442,59.7524,-25.7118
-52.5791,43.3654,4.00208,-3.18812,-3.26589,1.12307,0.0948632,-0.0567045,-0.00225219,0.0948966,-0.0567379,-0.014855,0.0382847,351,375,-31.0884,31.7741,29.2273,5.8887,59.3136,-25.7235
-51.8535,43.3521,3.9068,-3.10059,-3.3479,1.14138,0.101802,-0.0708912,-0.00510205,0.101953,-0.0710418,-0.0295097,0.0390317,358,375,-30.2603,32.5935,29.7204,6.63502,59.0406,-25.7116
-51.1358,43.3348,3.7398,-2.98929,-3.38957,1.35207,0.106862,-0.0839717,-0.00828096,0.10722,-0.0843304,-0.0432852,0.0395636,365,375,-29.4188,33.144,30.053,7.15747,58.8686,-25.7338
-50.4156,43.3223,3.59396,-2.89001,-3.42608,1.61817,0.110296,-0.0972485,-0.0113331,0.110913,-0.0978655,-0.05439,0.0398327,372,375,-28.7502,33.7209,30.1164,7.58698,58.6677,-25.8153
-49.6892,43.3164,3.50091,-2.82433,-3.50646,1.75164,0.113103,-0.110161,-0.0133766,0.113901,-0.110959,-0.0596299,0.0398746,379,375,-28.2508,34.6556,30.1404,8.23484,58.3937,-25.9402
-48.9579,43.3127,3.45277,-2.77465,-3.63435,1.74016,0.116082,-0.121702,-0.0138376,0.116885,-0.122504,-0.0579335,0.0395666,386,375,-27.742,35.9114,30.3231,9.25364,58.0586,-26.0406
-48.2265,43.3052,3.40483,-2.71374,-3.75697,1.72356,0.118689,-0.130843,-0.0129019,0.119355,-0.131508,-0.0515212,0.0389803,393,375,-27.1217,37.0942,30.6189,10.3121,57.7255,-26.0666
-47.4945,43.2966,3.36289,-2.63962,-3.85016,1.77467,0.120419,-0.13712,-0.0115889,0.12094,-0.137641,-0.0448775,0.0387553,400,375,-26.4518,38.0579,30.8549,11.1752,57.3858,-26.0612
-46.7557,43.2939,3.38369,-2.57481,-3.93368,1.80115,0.12166,-0.140227,-0.0108938,0.122113,-0.140679,-0.0415016,0.0392726,407,375,-25.8467,38.9466,30.975,11.8792,56.9593,-26.0738
-46.0147,43.2932,3.42471,-2.5141,-4.03487,1.75749,0.123092,-0.141272,-0.0106907,0.123523,-0.141704,-0.0403513,0.0398987,414,375,-25.2056,39.9227,31.2032,12.7112,56.5058,-26.0944
-45.2818,43.2866,3.39084,-2.43087,-4.13934,1.73029,0.124854,-0.140144,-0.0101389,0.125241,-0.140531,-0.0381859,0.0394373,421,375,-24.3654,40.8813,31.7036,13.6423,56.1584,-26.1149
-44.5585,43.2769,3.26771,-2.31606,-4.20597,1.80784,0.127074,-0.137343,-0.00861304,0.127355,-0.137623,-0.0325277,0.037626,428,375,-23.3357,41.5343,32.3552,14.2463,55.9361,-26.2155
-43.8332,43.2757,3.16,-2.20191,-4.22372,1.92759,0.129337,-0.133025,-0.00666562,0.129506,-0.133194,-0.0253844,0.0356285,435,375,-22.361,41.7715,32.8641,14.2814,55.6919,-26.4519
-43.0973,43.2842,3.15196,-2.108,-4.18319,2.00527,0.131475,-0.127946,-0.00537685,0.131586,-0.128057,-0.0207145,0.0344787,442,375,-21.5439,41.4582,33.1311,13.6805,55.3091,-26.7227
-42.357,43.2919,3.18713,-2.03586,-4.13831,2.01468,0.133772,-0.122933,-0.0049563,0.133867,-0.123029,-0.0192978,0.0355148,449,375,-20.8651,40.9922,33.3032,13.1321,54.8683,-26.9109
-41.621,43.292,3.18189,-1.96829,-4.18114,1.99089,0.1358,-0.119119,-0.00488243,0.135894,-0.119212,-0.0191435,0.0378233,456,375,-20.1844,41.2809,33.6019,13.5056,54.4863,-27.0149
-40.8909,43.2873,3.12087,-1.87662,-4.28055,2.0436,0.136862,-0.116689,-0.00486387,0.136955,-0.116782,-0.0191736,0.039302,463,375,-19.3432,42.2308,34.0385,14.3967,54.1838,-27.1151
-40.1641,43.2812,3.02659,-1.76945,-4.36823,2.16783,0.136726,-0.115312,-0.00479321,0.136818,-0.115403,-0.0190086,0.0395686,470,375,-18.4256,43.192,34.4936,15.1416,53.9289,-27.238
-39.4367,43.2735,2.93742,-1.66362,-4.45046,2.29205,0.135914,-0.114767,-0.00437999,0.13599,-0.114844,-0.0174652,0.0393626,477,375,-17.5198,44.074,34.9313,15.9029,53.6687,-27.3232
-38.7056,43.2632,2.88618,-1.58466,-4.5475,2.32064,0.134556,-0.114704,-0.00391751,0.134618,-0.114766,-0.0157114,0.03891,484,375,-16.7739,44.9828,35.3036,16.8781,53.3581,-27.3006
-37.9708,43.2523,2.87083,-1.51383,-4.67991,2.25246,0.132626,-0.114537,-0.00383796,0.132686,-0.114596,-0.0155231,0.0390929,491,375,-16.0084,46.2093,35.7884,18.114,52.9994,-27.2114
-37.2397,43.2403,2.81931,-1.40628,-4.80372,2.30506,0.130957,-0.114784,-0.00386597,0.131018,-0.114845,-0.0157267,0.0396568,498,375,-15.0111,47.5207,36.3748,19.2525,52.6923,-27.157
-36.5105,43.2326,2.74672,-1.28461,-4.8748,2.48287,0.129868,-0.114818,-0.00268486,0.129898,-0.114848,-0.0109709,0.0396706,505,375,-14.0036,48.4237,36.8153,19.8942,52.4146,-27.2159
-35.7803,43.23,2.68311,-1.19373,-4.89858,2.62875,0.128863,-0.114475,-0.000926645,0.128866,-0.114479,-0.00380798,0.038491,512,375,-13.2618,48.7509,37.0267,20.0946,52.1245,-27.3599
-35.0459,43.2325,2.6612,-1.1432,-4.92046,2.6251,0.127598,-0.113435,-0.00044835,0.127599,-0.113436,-0.00186011,0.0362256,519,375,-12.7625,48.8935,37.1584,20.1813,51.777,-27.5365
-34.3096,43.2364,2.6594,-1.08056,-4.95529,2.62531,0.126832,-0.112938,-0.00198935,0.126848,-0.112955,-0.00829614,0.0339981,526,375,-12.1506,49.216,37.3674,20.3416,51.4028,-27.7077
-33.5712,43.2407,2.67994,-0.998899,-5.00018,2.69852,0.127529,-0.11383,-0.00460483,0.127617,-0.113918,-0.0190694,0.0327347,533,375,-11.4242,49.7215,37.556,20.6506,50.9988,-27.8526
-32.8277,43.2486,2.75333,-0.933422,-5.0671,2.72157,0.130789,-0.115485,-0.00642461,0.130956,-0.115652,-0.0260637,0.0332634,540,375,-10.8027,50.3574,37.6472,21.1818,50.5223,-27.9862
