 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-60,43.3166,3.56657,-2.57773,-3.30449,4.01635,0.0564595,0.0219531,0.0498874,0.0919929,-0.0135803,0.618915,0.0412896,281,375,-28.6599,34.437,32.3417,9.59705,64.0706,-24.4999
-59.2693,43.3087,3.51216,-2.52052,-3.36923,4.0943,0.0470463,0.0263875,0.0465603,0.0844092,-0.0109754,0.676241,0.0412896,288,375,-28.1746,35.2221,32.3543,10.1133,63.7271,-24.5288
-58.5296,43.3064,3.53331,-2.4946,-3.42581,4.09801,0.0409733,0.0264709,0.0416053,0.0759546,-0.00851032,0.699122,0.0395546,295,375,-27.9042,35.9605,32.1614,10.4195,63.2796,-24.5492
-57.781,43.3142,3.62902,-2.52268,-3.4881,3.9542,0.0384122,0.0228216,0.035326,0.0667927,-0.00555892,0.676804,0.0374139,302,375,-27.9798,36.5339,31.745,10.7012,62.7284,-24.6475
-57.026,43.3312,3.77925,-2.56464,-3.55892,3.78561,0.0395125,0.0163549,0.0286323,0.0588186,-0.00295123,0.593253,0.0358733,309,375,-28.1608,37.0464,31.1896,11.0815,62.1012,-24.8379
-56.2714,43.3519,3.92835,-2.57412,-3.62876,3.72391,0.0433061,0.00807548,0.0223544,0.0541516,-0.00277005,0.451707,0.0351906,316,375,-28.1556,37.5879,30.6629,11.5101,61.4757,-25.0999
-55.5323,43.3602,3.94591,-2.52286,-3.69252,3.81,0.0484063,-0.000995389,0.0167347,0.0535413,-0.00613045,0.297731,0.0354363,323,375,-27.7369,38.2026,30.5051,12.0052,61.0355,-25.3264
-54.8002,43.3608,3.90519,-2.47237,-3.75567,3.82905,0.0540757,-0.0112143,0.0113741,0.0560005,-0.0131391,0.167632,0.03559,330,375,-27.2479,38.7396,30.59,12.5137,60.6787,-25.4962
-54.0621,43.3637,3.91693,-2.44715,-3.82747,3.69242,0.0592888,-0.0218233,0.00606056,0.0597391,-0.0222736,0.0741694,0.0356298,337,375,-26.8261,39.2119,30.7577,13.0447,60.2504,-25.6308
-53.3182,43.368,3.97996,-2.42951,-3.91011,3.50153,0.0652014,-0.034345,0.00123664,0.0652168,-0.0343604,0.0124202,0.0357289,344,375,-26.4181,39.7847,30.9201,13.6492,59.7524,-25.7118
-52.5791,43.3654,4.00208,-2.3829,-3.99243,3.42499,0.0714447,-0.047191,-0.00244041,0.0714948,-0.0472412,-0.020559,0.0359851,351,375,-25.8622,40.5196,31.1228,14.3283,59.3136,-25.7235
-51.8535,43.3521,3.9068,-2.3018,-4.05496,3.50853,0.0772723,-0.0601652,-0.00499557,0.0774536,-0.0603465,-0.0362841,0.0362252,358,375,-25.1538,41.2221,31.4093,14.9332,59.0406,-25.7116
-51.1358,43.3348,3.7398,-2.20991,-4.0895,3.70098,0.0815202,-0.0717121,-0.00780946,0.0819171,-0.0721091,-0.0507895,0.0365126,365,375,-24.462,41.7201,31.6247,15.3508,58.8686,-25.7338
-50.4156,43.3223,3.59396,-2.12943,-4.12636,3.91208,0.0838515,-0.0833798,-0.0110204,0.0845746,-0.0841029,-0.0655213,0.0370747,372,375,-23.8968,42.258,31.6668,15.7456,58.6677,-25.8153
-49.6892,43.3164,3.50091,-2.07324,-4.20586,4.02382,0.0855891,-0.094827,-0.0134195,0.0865818,-0.0958197,-0.0738395,0.0378699,379,375,-23.4492,43.1447,31.6721,16.3971,58.3937,-25.9402
-48.9579,43.3127,3.45277,-2.03297,-4.32811,4.00557,0.0881659,-0.10491,-0.0137037,0.0891337,-0.105878,-0.0705046,0.0384373,386,375,-23.0087,44.31,31.7993,17.3965,58.0586,-26.0406
-48.2265,43.3052,3.40483,-1.98957,-4.44201,3.9663,0.0906754,-0.113359,-0.012755,0.0914697,-0.114154,-0.062191,0.0385125,393,375,-22.5174,45.354,32.0038,18.4014,57.7255,-26.0666
-47.4945,43.2966,3.36289,-1.93728,-4.51905,3.98252,0.0921563,-0.119115,-0.0119324,0.0928281,-0.119786,-0.0562408,0.0386728,400,375,-22.0054,46.0957,32.1361,19.136,57.3858,-26.0612
-46.7557,43.2939,3.38369,-1.89163,-4.58172,3.97972,0.0930068,-0.122876,-0.011823,0.0936524,-0.123522,-0.0545486,0.0393942,407,375,-21.54,46.7372,32.1606,19.6566,56.9593,-26.0738
-46.0147,43.2932,3.42471,-1.84797,-4.66111,3.9231,0.094412,-0.124738,-0.0117238,0.0950374,-0.125363,-0.0532939,0.0400784,414,375,-21.0361,47.5137,32.2729,20.2635,56.5058,-26.0944
-45.2818,43.2866,3.39084,-1.7845,-4.74937,3.9004,0.0965761,-0.124753,-0.0109761,0.0971191,-0.125296,-0.0494302,0.0394538,421,375,-20.3766,48.3697,32.5935,21.0046,56.1584,-26.1149
-44.5585,43.2769,3.26771,-1.69159,-4.80998,3.99377,0.0988092,-0.123146,-0.00968213,0.0992307,-0.123567,-0.0435119,0.0373405,428,375,-19.5575,48.9875,33.0236,21.5615,55.9361,-26.2155
-43.8332,43.2757,3.16,-1.59058,-4.817,4.13331,0.100456,-0.119326,-0.0083755,0.100774,-0.119645,-0.0380346,0.0350542,435,375,-18.7138,49.0787,33.3792,21.5779,55.6919,-26.4519
-43.0973,43.2842,3.15196,-1.50928,-4.78429,4.2225,0.101696,-0.114137,-0.00766201,0.101968,-0.114409,-0.0354401,0.0341141,442,375,-18.0119,48.7835,33.523,21.1285,55.3091,-26.7227
