 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-60,43.3166,3.56657,-6.55997,-0.86507,-3.8634,0.554975,-0.0731108,0.0327161,0.556674,-0.0748103,0.0519014,0.0449598,281,375,-57.5504,5.27149,15.5018,-18.6276,64.0706,-24.4999
-59.2693,43.3087,3.51216,-6.13193,-0.808807,-2.7032,0.446928,-0.0726349,0.0308539,0.448754,-0.0744607,0.0591074,0.0421435,288,375,-54.8988,5.58801,16.041,-18.3088,63.7271,-24.5288
-58.5296,43.3064,3.53331,-6.16689,-0.951411,-3.01824,0.362082,-0.07498,0.0258891,0.36361,-0.0765082,0.0589597,0.0403966,295,375,-54.8634,6.78827,16.0798,-17.3453,63.2796,-24.5492
-57.781,43.3142,3.62902,-6.18843,-1.08047,-3.27679,0.296749,-0.0805308,0.0186856,0.297672,-0.081454,0.0493661,0.0394755,302,375,-54.7763,7.87025,15.9841,-16.5081,62.7284,-24.6475
-57.026,43.3312,3.77925,-6.18977,-1.19627,-3.46406,0.248421,-0.089263,0.0105067,0.248747,-0.0895896,0.0310739,0.0390131,309,375,-54.5882,8.84618,15.8075,-15.7958,62.1012,-24.8379
-56.2714,43.3519,3.92835,-6.14497,-1.28262,-3.48615,0.214792,-0.0992969,0.00317588,0.214824,-0.099329,0.01011,0.0395101,316,375,-54.16,9.64521,15.6264,-15.2797,61.4757,-25.0999
-55.5323,43.3602,3.94591,-6.04004,-1.33701,-3.32961,0.191819,-0.108916,-0.00289903,0.191847,-0.108943,-0.00963864,0.0407748,323,375,-53.3648,10.2346,15.7229,-14.85,61.0355,-25.3264
-54.8002,43.3608,3.90519,-5.91215,-1.4042,-3.17862,0.176623,-0.118027,-0.0080862,0.176845,-0.118249,-0.0274159,0.0421503,330,375,-52.339,10.9046,16.1295,-14.2161,60.6787,-25.4962
-54.0621,43.3637,3.91693,-5.81486,-1.5185,-3.20707,0.150752,-0.124244,-0.0113849,0.151223,-0.124714,-0.0413059,0.0423957,337,375,-51.394,11.852,16.6455,-13.2135,60.2504,-25.6308
-53.3182,43.368,3.97996,-5.73864,-1.66848,-3.34985,0.144587,-0.137896,-0.0201215,0.146013,-0.139322,-0.0707546,0.0419851,344,375,-50.5184,13.1031,17.1917,-11.9682,59.7524,-25.7118
-52.5791,43.3654,4.00208,-5.65145,-1.81781,-3.47317,0.153433,-0.146527,-0.0199668,0.154756,-0.14785,-0.0661759,0.0419417,351,375,-49.5614,14.4691,17.8467,-10.7569,59.3136,-25.7235
-51.8535,43.3521,3.9068,-5.53303,-1.92964,-3.48163,0.161347,-0.152661,-0.0194903,0.162552,-0.153867,-0.0617535,0.0428161,358,375,-48.438,15.5965,18.6573,-9.81495,59.0406,-25.7116
-51.1358,43.3348,3.7398,-5.39988,-1.99325,-3.35801,0.167728,-0.156803,-0.0189725,0.168834,-0.157909,-0.0581968,0.0442508,365,375,-47.3237,16.2833,19.3689,-9.16452,58.8686,-25.7338
-50.4156,43.3223,3.59396,-5.26525,-2.03323,-3.1084,0.172379,-0.159162,-0.0188913,0.173452,-0.160234,-0.0567356,0.0454629,372,375,-46.3357,16.8298,19.7557,-8.67851,58.6677,-25.8153
-49.6892,43.3164,3.50091,-5.15334,-2.10857,-2.90455,0.176761,-0.160048,-0.0178653,0.177706,-0.160993,-0.0528452,0.0458936,379,375,-45.5076,17.7472,19.99,-8.01423,58.3937,-25.9402
-48.9579,43.3127,3.45277,-5.05804,-2.25065,-2.82825,0.181987,-0.160602,-0.0144541,0.182596,-0.161211,-0.042091,0.045275,386,375,-44.6897,19.254,20.3435,-6.86276,58.0586,-26.0406
-48.2265,43.3052,3.40483,-4.95669,-2.40823,-2.78259,0.186787,-0.159496,-0.00881831,0.187011,-0.15972,-0.0254436,0.0439036,393,375,-43.7784,20.8299,20.8329,-5.46284,57.7255,-26.0666
-47.4945,43.2966,3.36289,-4.84976,-2.53181,-2.69718,0.190392,-0.155605,-0.00341188,0.190425,-0.155638,-0.00985976,0.0426033,400,375,-42.8607,22.071,21.26,-4.26912,57.3858,-26.0612
-46.7557,43.2939,3.38369,-4.75011,-2.62556,-2.59628,0.193404,-0.148949,0.00078558,0.193405,-0.148951,0.00229464,0.0419954,407,375,-42.0336,23.062,21.4881,-3.37324,56.9593,-26.0738
-46.0147,43.2932,3.42471,-4.63997,-2.72672,-2.49151,0.196489,-0.140719,0.004165,0.196541,-0.140771,0.0123489,0.0418443,414,375,-41.1096,24.1087,21.7773,-2.39551,56.5058,-26.0944
-45.2818,43.2866,3.39084,-4.48865,-2.84858,-2.36144,0.198379,-0.132697,0.00639961,0.198502,-0.132821,0.0193201,0.0415999,421,375,-39.8146,25.3192,22.4916,-1.16109,56.1584,-26.1149
-44.5585,43.2769,3.26771,-4.31163,-2.94911,-2.23438,0.199163,-0.12569,0.00801344,0.199361,-0.125888,0.0246479,0.0411867,428,375,-38.2706,26.3247,23.5651,-0.211848,55.9361,-26.2155
-43.8332,43.2757,3.16,-4.14759,-2.97107,-2.13055,0.19931,-0.118768,0.00971296,0.199606,-0.119064,0.0304985,0.0413117,435,375,-36.835,26.619,24.5296,-0.191063,55.6919,-26.4519
-43.0973,43.2842,3.15196,-4.02431,-2.91026,-2.06286,0.198612,-0.11228,0.0106152,0.198974,-0.112642,0.0340914,0.0422076,442,375,-35.7604,25.996,25.048,-0.878679,55.3091,-26.7227
-42.357,43.2919,3.18713,-3.91799,-2.85311,-1.9963,0.198899,-0.106406,0.0107873,0.19928,-0.106787,0.0352743,0.0434703,449,375,-34.8444,25.2875,25.3618,-1.32422,54.8683,-26.9109
-41.621,43.292,3.18189,-3.80095,-2.89639,-1.93944,0.199488,-0.103047,0.00988887,0.199811,-0.10337,0.0326402,0.0443348,456,375,-33.8025,25.5881,25.8888,-0.836749,54.4863,-27.0149
-40.8909,43.2873,3.12087,-3.6534,-3.03279,-1.85214,0.198382,-0.10272,0.00735539,0.198562,-0.1029,0.0244088,0.0445797,463,375,-32.4889,26.9937,26.73,0.326959,54.1838,-27.1151
-40.1641,43.2812,3.02659,-3.50434,-3.18697,-1.7893,0.196637,-0.106404,0.0049193,0.196717,-0.106484,0.0162274,0.044416,470,375,-31.133,28.6358,27.6964,1.52195,53.9289,-27.238
-39.4367,43.2735,2.93742,-3.37862,-3.31567,-1.76666,0.194832,-0.112468,0.00348188,0.194872,-0.112508,0.0113286,0.0442383,477,375,-29.9607,29.8981,28.5345,2.60108,53.6687,-27.3232
-38.7056,43.2632,2.88618,-3.26848,-3.44357,-1.77586,0.193314,-0.120224,0.00218527,0.193329,-0.12024,0.00696926,0.044086,484,375,-28.9058,31.0585,29.2558,3.83105,53.3581,-27.3006
-37.9708,43.2523,2.87083,-3.1616,-3.58976,-1.79933,0.19309,-0.128481,4.05646e-05,0.19309,-0.128481,0.000126145,0.0440125,491,375,-27.867,32.3901,29.9381,5.27829,52.9994,-27.2114
-37.2397,43.2403,2.81931,-3.04375,-3.75562,-1.81442,0.195815,-0.13739,-0.00239722,0.195832,-0.137408,-0.00719394,0.0440038,498,375,-26.7296,33.9035,30.7582,6.88704,52.6923,-27.157
-36.5105,43.2326,2.74672,-2.8686,-3.89797,-1.45364,0.201396,-0.146381,-0.00252494,0.201414,-0.1464,-0.00725971,0.042514,505,375,-25.4129,35.8189,31.2543,8.11622,52.4146,-27.2159
-35.7803,43.23,2.68311,-2.77911,-3.94057,-1.41917,0.207004,-0.154717,-0.00159282,0.207011,-0.154724,-0.00440333,0.0398028,512,375,-24.6049,36.3945,31.6852,8.23459,52.1245,-27.3599
-35.0459,43.2325,2.6612,-2.68907,-4.01254,-1.5162,0.211438,-0.161078,-0.00162598,0.211446,-0.161085,-0.00436475,0.0382775,519,375,-23.6639,36.9765,32.3729,8.66348,51.777,-27.5365
-34.3096,43.2364,2.6594,-2.56417,-4.07807,-1.43078,0.216725,-0.165967,-0.00352675,0.216758,-0.166,-0.00921459,0.0368061,526,375,-22.5655,37.6679,32.9303,9.15277,51.4028,-27.7077
-33.5712,43.2407,2.67994,-2.44112,-4.15394,-1.32928,0.223601,-0.170059,-0.00677575,0.223718,-0.170176,-0.0172054,0.0355267,533,375,-21.4977,38.4509,33.4098,9.79841,50.9988,-27.8526
-32.8277,43.2486,2.75333,-2.33317,-4.25277,-1.31554,0.23061,-0.173864,-0.0108857,0.230902,-0.174157,-0.0268872,0.0352467,540,375,-20.489,39.3541,33.8875,10.6331,50.5223,-27.9862
-32.0858,43.2517,2.81299,-2.20585,-4.36048,-1.29308,0.236768,-0.175832,-0.0152032,0.237327,-0.176392,-0.0367808,0.0370205,547,375,-19.3029,40.3631,34.5448,11.6096,50.0671,-28.0488
-31.352,43.2427,2.79001,-2.01953,-4.4537,-1.09328,0.240707,-0.177629,-0.0208189,0.241741,-0.178663,-0.0496026,0.0401172,554,375,-17.718,41.4523,35.45,12.6043,49.7305,-28.0082
-30.6269,43.2238,2.67413,-1.8088,-4.53227,-0.779913,0.243662,-0.179568,-0.0268152,0.245354,-0.18126,-0.0630225,0.0432427,561,375,-16.0011,42.5492,36.4524,13.5349,49.5261,-27.9197
-29.9043,43.207,2.52985,-1.63659,-4.6181,-0.581351,0.245234,-0.182065,-0.0325799,0.247704,-0.184535,-0.0756632,0.045344,568,375,-14.5418,43.5953,37.4118,14.3889,49.3619,-27.9161
-29.1821,43.1976,2.37785,-1.49544,-4.71769,-0.479678,0.242545,-0.186563,-0.0386955,0.246006,-0.190025,-0.0892175,0.0463441,575,375,-13.2871,44.6445,38.325,15.1978,49.2081,-28.0631
-28.4615,43.1893,2.20723,-1.35831,-4.82271,-0.379451,0.23625,-0.194214,-0.0445556,0.240814,-0.198778,-0.102064,0.046696,582,375,-12.0674,45.6996,39.2358,16.0507,49.081,-28.26
-27.7344,43.1797,2.10661,-1.20213,-4.9223,-0.228611,0.22642,-0.205862,-0.0505214,0.232246,-0.211688,-0.11481,0.0469064,589,375,-10.7107,46.72,40.1107,17.0514,48.8588,-28.3273
-26.9975,43.1713,2.11298,-1.0971,-4.74435,-0.252678,0,0,0,0,0,0,-1,596,375,-9.71771,45.1252,40.6749,15.3395,48.4897,-28.2518
-26.257,43.1698,2.16056,-0.738747,-4.87837,0.26801,0,0,0,0,0,0,-1,603,375,-6.75204,46.9634,42.3683,16.8169,48.0631,-28.244
-25.5191,43.1771,2.17784,-0.652083,-4.97822,0.393857,0,0,0,0,0,0,-1,610,375,-6.02681,47.8438,42.5177,17.8063,47.6778,-28.4511
-24.7876,43.182,2.12255,-0.576241,-5.119,0.478646,0,0,0,0,0,0,-1,617,375,-5.36397,49.1169,42.7764,19.0343,47.3948,-28.7233
-24.061,43.1737,2.01353,-0.490211,-5.27921,0.490929,0,0,0,0,0,0,-1,624,375,-4.54142,50.6481,43.3703,20.4123,47.1908,-28.8265
-23.3345,43.1572,1.90355,-0.355648,-5.39619,0.509693,0,0,0,0,0,0,-1,631,375,-3.26813,51.9028,44.3783,21.4107,46.9914,-28.7755
-22.5988,43.1516,1.89703,-0.186656,-5.45631,0.56883,0,0,0,0,0,0,-1,638,375,-1.70601,52.5671,45.4482,21.9579,46.6475,-28.7725
-21.851,43.1638,2.03133,-0.0350047,-5.50635,0.538464,0,0,0,0,0,0,-1,645,375,-0.235352,52.9219,46.3559,22.3772,46.1056,-28.8935
-21.1021,43.178,2.17937,0.0826594,-5.58422,0.349214,0,0,0,0,0,0,-1,652,375,1.04294,53.3555,47.29,22.9742,45.5454,-29.0314
-20.3658,43.1784,2.18377,0.201795,-5.6613,0.263274,0,0,0,0,0,0,-1,659,375,2.24981,53.9003,48.2169,23.6394,45.1889,-29.1265
-19.6452,43.1667,2.00012,0.343081,-5.71451,0.402266,0,0,0,0,0,0,-1,666,375,3.48527,54.4357,49.1189,24.1489,45.0974,-29.2798
-18.9279,43.1558,1.77463,0.501788,-5.73269,0.759758,0,0,0,0,0,0,-1,673,375,4.71358,54.8249,49.763,24.4162,45.0652,-29.5107
-18.1997,43.1515,1.6788,0.678429,-5.69837,1.33961,0,0,0,0,0,0,-1,680,375,5.94064,54.9223,49.9057,24.4307,44.8529,-29.6696
-17.4616,43.1492,1.70221,1.02341,-6.06761,2.07387,0,0,0,0,0,0,-1,687,375,8.69547,59.4434,51.2104,27.9802,44.4762,-29.683
-16.7256,43.1432,1.70163,1.07664,-6.13647,2.07224,0,0,0,0,0,0,-1,694,375,9.21807,60.1104,51.3852,28.6259,44.1351,-29.6637
-15.9944,43.1389,1.64136,1.12415,-6.19201,2.07838,0,0,0,0,0,0,-1,701,375,9.67873,60.6238,51.5714,29.0587,43.8776,-29.7683
-15.2624,43.1409,1.58895,1.16193,-6.18415,2.24194,0,0,0,0,0,0,-1,708,375,9.92386,60.5906,51.3087,28.9996,43.6092,-29.9798
-14.5241,43.146,1.6167,0.046241,-5.93687,8.68445,0,0,0,0,0,0,-1,715,375,-5.5779,63.3812,27.1048,32.0617,43.2301,-30.1291
-13.7798,43.1527,1.72205,0.0226358,-6.0488,8.33987,0,0,0,0,0,0,-1,722,375,-5.48656,64.3785,27.2106,32.5726,42.7443,-30.1892
-13.0307,43.1616,1.89148,1.18638,-7.12526,5.00126,0,0,0,0,0,0,-1,729,375,8.25297,71.8869,44.6372,39.78,42.1702,-30.1924
-12.2854,43.1644,2.01604,1.2268,-7.16128,5.10084,0,0,0,0,0,0,-1,736,375,8.59675,72.2902,44.3231,40.2857,41.6611,-30.149
-11.5533,43.1542,1.9705,1.38986,-6.80423,1.43043,0,0,0,0,0,0,-1,743,375,12.7791,65.6451,53.0875,34.2039,41.3927,-30.1187
-10.8325,43.1368,1.77618,1.48131,-6.82466,1.57521,0,0,0,0,0,0,-1,750,375,13.5504,66.0046,53.5696,34.381,41.3343,-30.1776
-10.1125,43.126,1.56675,1.6138,-6.85451,1.84264,0,0,0,0,0,0,-1,757,375,14.6289,66.5703,54.1968,34.5747,41.2966,-30.3846
-9.38811,43.1215,1.41264,1.77446,-6.89275,2.18362,0,0,0,0,0,0,-1,764,375,15.9299,67.2775,54.8588,34.8716,41.1819,-30.6285
-8.66188,43.1161,1.28128,1.91839,-6.94523,2.40185,0,0,0,0,0,0,-1,771,375,17.162,67.9856,55.5996,35.2921,41.0373,-30.8207
-7.93317,43.1118,1.18215,2.04407,-7.01314,2.48423,0,0,0,0,0,0,-1,778,375,18.3172,68.6971,56.4168,35.8144,40.849,-30.9823
-7.19809,43.1122,1.16949,2.12295,-7.08723,2.36765,0,0,0,0,0,0,-1,785,375,19.1632,69.2713,57.0981,36.3214,40.5408,-31.1032
-6.46128,43.11,1.18188,2.16473,-7.17007,2.06772,0,0,0,0,0,0,-1,792,375,19.777,69.7813,57.7829,36.8523,40.1998,-31.1353
-5.72685,43.1004,1.16278,1.22278,-7.21072,7.823,0,0,0,0,0,0,-1,799,375,6.9684,74.9462,37.2145,42.1214,39.9057,-31.0755
-4.99316,43.0888,1.1336,1.2936,-7.26554,7.9553,0,0,0,0,0,0,-1,806,375,7.60551,75.6237,37.3699,42.7819,39.6274,-30.9911
-4.25854,43.0823,1.11674,0.39284,-6.31812,9.28412,0,0,0,0,0,0,-1,813,375,-1.93411,67.6209,25.8847,35.1839,39.3321,-30.987
-3.52323,43.0854,1.10827,0.426256,-6.36436,9.26551,0,0,0,0,0,0,-1,820,375,-1.54449,67.9944,25.9828,35.4945,39.0243,-31.1521
-2.7915,43.0884,1.04734,0.448136,-6.42283,9.21191,0,0,0,0,0,0,-1,827,375,-1.24229,68.5438,26.1252,35.7168,38.7909,-31.3957
-2.06293,43.0835,0.940335,0.470316,-6.46945,9.16486,0,0,0,0,0,0,-1,834,375,-0.943059,68.9646,26.3214,35.931,38.6248,-31.5577
-1.33386,43.0737,0.840206,0.4925,-6.509,9.11938,0,0,0,0,0,0,-1,841,375,-0.646004,69.3078,26.5045,36.1954,38.4516,-31.6176
-0.599186,43.0724,0.822079,2.35064,-8.10794,5.90048,0,0,0,0,0,0,-1,848,375,19.3194,81.5203,50.1825,48.5621,38.1638,-31.7127
0.137767,43.0778,0.837639,2.41291,-8.17234,5.97586,0,0,0,0,0,0,-1,855,375,19.9041,82.2769,50.3172,48.9787,37.8289,-31.885
0.874499,43.0827,0.85078,2.47508,-8.23674,6.05111,0,0,0,0,0,0,-1,862,375,20.4888,83.0335,50.4572,49.4027,37.4989,-32.0496
1.61193,43.0839,0.876358,2.53712,-8.30056,6.1262,0,0,0,0,0,0,-1,869,375,21.0735,83.7901,50.5822,49.9064,37.1537,-32.1257
2.35226,43.0841,0.949222,2.59909,-8.3631,6.20316,0,0,0,0,0,0,-1,876,375,21.6582,84.5467,50.6395,50.4867,36.7442,-32.1121
3.09041,43.0795,0.99032,1.77614,-7.87741,7.84676,0,0,0,0,0,0,-1,883,375,12.8203,81.2089,39.3995,47.5668,36.3815,-32.0529
3.82059,43.0699,0.905078,0.728409,-6.59418,9.42476,0,0,0,0,0,0,-1,890,375,1.80312,70.3589,26.1608,36.8345,36.1973,-32.0925
4.54593,43.0632,0.738894,0.751188,-6.61161,9.56007,0,0,0,0,0,0,-1,897,375,1.99666,70.6122,26.0892,36.9001,36.1266,-32.3124
