 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-60,43.3166,3.56657,-0.146836,-2.12215,0.544491,0.0293715,-0.00380311,-0.00152574,0.0294416,-0.00387314,-0.045862,0.0250924,281,375,-1.71625,20.6326,62.179,-4.53079,64.0706,-24.4999
-59.2693,43.3087,3.51216,-0.107239,-2.10434,0.762429,0.016508,-0.00214969,0.000618021,0.0165284,-0.00217014,0.0330759,0.0253857,288,375,-1.58749,20.6059,61.6521,-4.53079,63.7271,-24.5288
-58.5296,43.3064,3.53331,-0.0961339,-2.09639,0.858493,0.00655775,-0.00089102,0.00169498,0.00692531,-0.00125858,0.213545,0.0248944,295,375,-1.58817,20.5845,61.0693,-4.52621,63.2796,-24.5492
-57.781,43.3142,3.62902,-0.105166,-2.09249,0.879734,-0.000908385,0.000114258,0.00171746,0.0013949,-0.00218902,0.93008,0.0241211,302,375,-1.69481,20.5545,60.3871,-4.62656,62.7284,-24.6475
-57.026,43.3312,3.77925,-0.133466,-2.09533,0.824791,-0.00616074,0.000886361,0.00103786,0.00103603,-0.00631041,1.42757,0.0230431,309,375,-1.89871,20.5402,59.6437,-4.82285,62.1012,-24.8379
-56.2714,43.3519,3.92835,-0.168492,-2.10561,0.73825,-0.00949902,0.00144594,9.48288e-05,0.00144676,-0.00949984,1.56213,0.021879,316,375,-2.13137,20.5922,58.9202,-5.06653,61.4757,-25.0999
-55.5323,43.3602,3.94591,-0.183387,-2.11579,0.716903,-0.0112568,0.00166394,-0.000810072,0.00171453,-0.0113074,-1.50843,0.0212325,323,375,-2.24545,20.7006,58.4038,-5.23938,61.0355,-25.3264
-54.8002,43.3608,3.90519,-0.190725,-2.121,0.72043,-0.0117234,0.00136037,-0.00132654,0.00149351,-0.0118566,-1.47076,0.0214484,330,375,-2.31568,20.758,57.9765,-5.36105,60.6787,-25.4962
-54.0621,43.3637,3.91693,-0.21388,-2.12562,0.65678,-0.012348,0.000381976,-0.000912018,0.000446984,-0.012413,-1.49964,0.0221224,337,375,-2.46314,20.7373,57.4977,-5.4806,60.2504,-25.6308
-53.3182,43.368,3.97996,-0.244447,-2.13422,0.550828,-0.0113236,-0.000956892,-0.000751723,-0.000902666,-0.0113779,-1.49879,0.0228515,344,375,-2.63571,20.7383,56.9846,-5.55708,59.7524,-25.7118
