" ""X""","  ""Y""","  ""Z""","  ""U""","  ""V""","  ""W""","  ""exx""","  ""eyy""","  ""exy""","  ""e1""","  ""e2""","  ""gamma""","  ""sigma""","  ""x""","  ""y""","  ""u""","  ""v""","  ""q""","  ""r""","  ""q_ref""","  ""r_ref"""
13.4789,-14.7642,-4.29541,0.685955,-2.2152,0.305725,1.48E-06,0.000214542,-0.000415264,0.000536722,-0.000320701,-0.91096,0.00586559,1731,1123,3.74185,22.8034,139.191,-25.1993,143.26,-47.8139
13.7783,-14.6869,-4.38155,0.686486,-2.21784,0.30517,-7.44E-05,0.000312498,-0.000442641,0.000602128,-0.00036399,-0.991389,0.00597751,1736,1123,3.75758,22.8399,139.138,-25.1544,143.198,-47.8069
14.0788,-14.6125,-4.46405,0.686918,-2.22055,0.304874,-0.000142592,0.0003987,-0.000481138,0.000680089,-0.000423981,-1.0416,0.00607666,1741,1123,3.77088,22.8747,139.062,-25.117,143.116,-47.806
14.3793,-14.5377,-4.54699,0.685661,-2.22147,0.303854,-0.00019594,0.000473477,-0.000523988,0.000760535,-0.000482997,-1.06962,0.00616461,1746,1123,3.76527,22.8899,138.981,-25.0888,143.038,-47.8068
14.6794,-14.4618,-4.63087,0.685683,-2.22375,0.303005,-0.000213842,0.000523641,-0.000561239,0.000826435,-0.000516636,-1.07604,0.00628243,1751,1123,3.77507,22.9247,138.917,-25.0555,142.968,-47.8109
14.9796,-14.386,-4.71474,0.685023,-2.22549,0.301672,-0.000195461,0.000558324,-0.000571412,0.000865946,-0.000503083,-1.07694,0.00639802,1756,1123,3.77729,22.9547,138.85,-25.0205,142.898,-47.8157
15.2802,-14.3113,-4.79737,0.685014,-2.22763,0.301174,-0.000140941,0.000580466,-0.000562753,0.000888192,-0.000448667,-1.0704,0.00650468,1761,1123,3.786,22.9827,138.779,-24.9898,142.823,-47.819
15.5795,-14.233,-4.88384,0.685198,-2.23004,0.300896,-6.16E-05,0.000566827,-0.000543914,0.000880772,-0.000375512,-1.04731,0.00659647,1766,1123,3.79633,23.0115,138.732,-24.9653,142.772,-47.8291
15.8791,-14.1553,-4.96959,0.685809,-2.23283,0.300858,3.60E-05,0.000508884,-0.000509501,0.000834128,-0.000289261,-1.00265,0.00668207,1771,1123,3.8115,23.0434,138.685,-24.9381,142.718,-47.8373
16.1785,-14.077,-5.05599,0.686835,-2.23588,0.300834,0.000155681,0.000425852,-0.000452479,0.00076298,-0.000181447,-0.930459,0.00674983,1776,1123,3.83232,23.0806,138.647,-24.9121,142.669,-47.8472
16.4779,-13.9989,-5.14219,0.687027,-2.23828,0.300501,0.000286927,0.000325128,-0.000379211,0.000685719,-7.37E-05,-0.810562,0.00677948,1781,1123,3.84301,23.1132,138.603,-24.8905,142.62,-47.8572
16.7768,-13.9189,-5.23029,0.687931,-2.24127,0.300972,0.000397756,0.000205507,-0.00030992,0.000626117,-2.29E-05,-0.635023,0.00675672,1786,1123,3.86078,23.1438,138.574,-24.8724,142.584,-47.8697
17.0754,-13.8382,-5.31918,0.689229,-2.2441,0.301465,0.000506747,5.95E-05,-0.000251638,0.000619761,-5.36E-05,-0.422115,0.00674547,1791,1123,3.88493,23.1708,138.557,-24.8574,142.555,-47.8846
17.3735,-13.7561,-5.40959,0.690938,-2.24696,0.302241,0.000615248,-9.33E-05,-0.000207637,0.000671613,-0.000149634,-0.265075,0.00676408,1796,1123,3.91451,23.196,138.554,-24.8447,142.535,-47.8984
17.671,-13.6725,-5.50189,0.692475,-2.24895,0.303234,0.000714607,-0.000258181,-0.000191523,0.000750956,-0.00029453,-0.187558,0.00678017,1801,1123,3.94312,23.2087,138.564,-24.842,142.527,-47.9095
17.9682,-13.588,-5.59542,0.693877,-2.25166,0.304057,0.000810003,-0.000428865,-0.000203307,0.000842514,-0.000461376,-0.158568,0.00680064,1806,1123,3.96828,23.2332,138.577,-24.8253,142.526,-47.9153
